City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,durban,-29.8579,31.0292,24.51,96,57,2.68,ZA,1675813376
84,byron bay,-28.65,153.6167,24.84,61,98,3.58,AU,1675812906
85,mago,53.2514,140.1822,-23.31,91,100,1.49,RU,1675813621
86,fortuna,40.5982,-124.1573,15.52,66,0,2.68,US,1675813197
87,bethel,41.3712,-73.414,2.64,71,75,2.06,US,1675813622
88,provideniya,64.3833,-173.3,-17.94,71,100,4.0,RU,1675813411
89,qandala,11.472,49.8728,23.46,84,76,1.06,SO,1675813623
90,vaini,-21.2,-175.2,26.09,100,75,4.63,TO,1675813624
91,avarua,-21.2078,-159.775,30.03,74,67,5.66,CK,1675813625
92,rochester,43.1548,-77.6156,9.79,75,100,5.66,US,1675813608
93,hobart,-42.8794,147.3294,16.81,62,75,7.2,AU,1675813494
94,lorengau,-2.0226,147.2712,25.33,94,100,4.85,PG,1675813626
95,walvis bay,-22.9575,14.5053,18.94,88,32,2.57,NA,1675813626
96,pevek,69.7008,170.3133,-29.94,94,100,1.62,RU,1675813628
97,erenhot,43.6475,111.9767,-11.0,72,24,1.71,CN,1675813289
98,hithadhoo,-0.6,73.0833,27.22,71,59,4.04,MV,1675813629
99,sisimiut,66.9395,-53.6735,-25.14,98,92,1.17,GL,1675813131
100,wanaka,-44.7,169.15,15.31,46,74,1.39,NZ,1675813453
101,samarai,-10.6167,150.6667,28.07,75,100,4.63,PG,1675813155
102,vila do maio,15.1333,-23.2167,20.44,66,5,8.71,CV,1675813631
103,mahebourg,-20.4081,57.7,26.16,83,75,7.2,MU,1675813346
104,birjand,32.8663,59.2211,8.26,71,75,4.12,IR,1675813371
105,gravdal,68.1214,13.5031,4.94,81,40,8.23,NO,1675813339
106,sinnamary,5.3833,-52.95,24.45,89,30,5.4,GF,1675813632
107,kodiak,57.79,-152.4072,-1.27,51,0,6.69,US,1675813632
108,tonantins,-2.8731,-67.8022,23.43,97,61,0.8,BR,1675813633
